INSTANCE|SOUS_INSTANCE|TYPE_RENCONTRE|DATE_RENCONTRE|ENDROIT|NOM|SALLE|RUE|NUMERO_CIVIC
Conseil de quartier|Duberger-Les-Saules|4|2012.02.29 19:00:00|Centre communautaire Les Saules|Centre communautaire Les Saules|Salle E102|rue De Musset|4124
Conseil de quartier|Vanier|3|2012.04.17 19:00:00|Salle du conseil du Bureau d'arrondissement des Rivières, 330 rue Chabot||||
Conseil de quartier|Loretteville|3|2012.04.03 19:00:00|Bureau d'arrondissement de La Haute-Saint-Charles, Salle RC04, 305, rue Racine||||
Conseil d'arrondissement|Les Rivières|1|2012.02.21 08:30:00|Bureau d’arrondissement des Rivières|Bureau d’arrondissement des Rivières|Salle du conseil|rue, Chabot|330
Conseil de quartier|Val-Bélair|3|2012.04.18 19:00:00|Centre culturel Georges-Dor, 3490, route de l'Aéroport, salle RC29 ||||
Conseil de quartier|Saint-Émile|3|2012.04.04 19:00:00|Centre communautaire Saint-Émile, 2200, rue de la Faune, salle 140||||
Conseil de quartier|Des Châtels|3|2012.04.17 19:00:00|Centre communautaire Michel-Labadie, salle RC07, 3705, avenue Chauveau||||
Conseil de quartier|Saint-Roch|3|2012.04.12 19:00:00|Bureau d’arrondissement de La Cité-Limoilou|Bureau d’arrondissement de La Cité-Limoilou|Salle Armand-Trottier|rue Saint-Joseph Est|399
Conseil de quartier|Saint-Sauveur|3|2012.04.18 19:00:00|Patro Laval|Patro Laval|Salle de pastorale|rue Bigaouette|145
Conseil de quartier|Des Jésuites|3|2012.04.05 19:00:00|Bureau d'arrondissement de Charlesbourg|Bureau d'arrondissement de Charlesbourg|Salle de la Cité|76e Rue Est|160
Conseil de quartier|Lac-Saint-Charles|2|2012.02.27 19:00:00|Centre communautaire Paul-Émile-Beaulieu|Centre communautaire Paul-Émile-Beaulieu|Salle 101|rue Delage|530
Conseil de quartier|Lac-Saint-Charles|3|2012.04.10 19:00:00|Centre communautaire Paul-Émile-Beaulieu|Centre communautaire Paul-Émile-Beaulieu|Salle 101|rue Delage|530
Conseil d'arrondissement|La Haute-Saint-Charles|1|2012.02.17 09:00:00|Bureau d’arrondissement de La Haute-Saint-Charles|Bureau d’arrondissement de La Haute-Saint-Charles|Salle du conseil|rue Racine|305
